Wind Speed (m/s),Actual Blade Angle,Predicted Blade Angle,Power Output (Actual) (W),Power Output (Predicted) (W),Difference in Power Output (W)
4.004802227,0.798811080409299,1.55181075422127,70792.5255659379,72281.590343529,1489.06477759113
4.505692005,0.863220748536309,0.949693765705444,100997.209623535,101240.733023261,243.52339972608
6.543505192,2.50086851495759,2.62406519636735,323480.616125084,324543.304536983,1062.68841189903
8.601190567,3.62708188273245,4.09587277259355,756733.903132217,765917.873096979,9183.96996476199
11.38578987,2.02019986250263,2.16259109319192,1682301.5069563,1688772.16305367,6470.65609736415
6.384533882,1.75269973488504,1.90913013897589,294477.702562663,295731.087112367,1253.38454970421
12.69536018,8.03583984561742,8.43121175856707,2711071.33104345,2735978.04744873,24906.7164052743
13.06120014,2.56142524934743,2.41654957450145,2576718.0366423,2566779.5488994,-9938.48774289573
11.22939014,2.92880250851158,2.88741391704315,1653534.36410352,1651729.99766565,-1804.36643786822
15.96313953,6.00982609803047,6.28139846029132,5135922.22446936,5169932.96442112,34010.7399517614
7.837547779,2.38688064906845,3.71685476354901,554160.309606993,573873.611552878,19713.3019458845
10.57870007,1.29578679925648,1.88799523841293,1322905.15570175,1344489.90882319,21584.753121434
15.39828968,2.36738915758336,2.35027137960577,4200353.02709593,4198428.87044046,-1924.15665547643
3.665981054,0.985874007403397,2.09152830690414,54585.6247308894,56262.7503347368,1677.12560384738
12.49234962,8.10276792189842,8.69834478058048,2587099.50127192,2622847.0105005,35747.5092285811
8.776116371,0.745812350210787,1.20752437604918,743888.547735077,753497.009979766,9608.46224468923
5.439941883,1.76118760032777,1.42710126464639,182199.799488958,180543.964426311,-1655.83506264648
5.953317165,2.60200883094398,2.66818739629298,244266.376308184,244696.278828014,429.902519829542
6.083409786,3.62858262261441,3.80704070294517,267747.590255749,268984.542733064,1236.95247731538
3.14468503,1.75314557358907,1.20593358561498,35188.5649621215,34664.6477766298,-523.917185491613
6.826344013,1.03113885769347,0.690311500733637,352872.718373521,349534.809005141,-3337.90936837951
4.98918581,-0.0533222733800449,0.913459323321636,133619.706038498,137316.225454886,3696.5194163881
8.866622925,1.83007914711814,2.19596691322844,790410.956913494,798263.280504192,7852.32359069772
6.57758522,1.45252277847879,1.59381229374229,319376.253685743,320614.15198826,1237.89830251673
6.228244781,1.11385919344699,1.36570873720246,268625.044397706,270498.37215563,1873.32775792433
8.832813263,0.783040053234252,1.26125499917638,759189.098210604,769335.121941973,10146.0237313691
13.42440033,1.01103268630248,1.76658370373815,2682228.92591124,2738505.03472548,56276.1088142437
3.218878984,3.22762205864459,2.52356331975409,39252.4540054834,38529.520383741,-722.933621742464
6.250786781,6.04377563706841,5.3184486917868,308622.042817376,303168.063984076,-5453.97883330029
9.106916428,2.65574233805048,2.83974886159331,875630.435846239,879909.244399844,4278.80855360418
6.230827808,4.92578820717429,5.50315820697954,297348.894805961,301648.880831168,4299.98602520663
14.3719101,9.54216050627614,9.85474060741486,4070899.07778208,4099467.1137955,28568.0360134156
2.264611959,0.848822032060299,0.650234682457636,12818.3421714224,12747.333963793,-71.0082076294239
8.457343102,1.34078845510644,1.51745383450583,676817.806439883,680108.056311777,3290.2498718946
7.794148922,3.84982647650964,2.97693204431205,566331.559109057,553606.980660219,-12724.5784488377
5.672510147,8.38813677454139,9.69054148262418,243821.740076896,251140.666535048,7318.92645815152
11.66516972,3.54674660184836,2.99559400223691,1883807.38887617,1856872.16266186,-26935.2262143071
14.05741024,6.05882118244455,5.24811024689834,3511543.19770693,3442207.39144074,-69335.8062661854
11.3901701,3.9796285088688,3.83327978989876,1773388.57786485,1766730.40392798,-6658.17393686972
14.73243999,2.66764613195653,2.96429363027601,3708242.31698946,3737446.18076804,29203.8637785786
6.54065609,0.77374238905292,1.65620687253817,308179.609083951,315781.764782209,7602.15569825802
8.051142693,3.84279871440846,4.13903671262716,624106.444919262,628866.247251674,4759.80233241245
1.738052964,1.30990059786537,0.617206468002985,5869.34531623807,5757.37417393942,-111.971142298648
3.063426018,1.08016944211484,1.50320121764875,31934.957287219,32309.3873936098,374.430106390875
2.444941044,0.209810508960753,0.345511362299962,15843.2561225102,15904.3170411695,61.060918659281
6.446642876,0.621834706466913,0.714960178481161,293827.677657072,294595.825659502,768.148002429982
9.185596466,2.55496282709642,2.45844197068648,896117.59634794,893814.46431605,-2303.13203188987
4.422986031,0.86917986373589,0.743287467152832,95552.8690465817,95217.5009191151,-335.368127466543
10.27748013,2.60724299833361,2.83343726840093,1256918.20135489,1264478.119935,7559.91858010972
1.912752986,0.166463650962545,0.90006560430822,7576.71488966186,7734.77152277024,158.056633108376
2.393836021,0.225349947606915,0.786881094015254,14876.9564250068,15114.1116103726,237.155185365831
16.33175087,8.32682858877049,9.02853297040934,5810730.34418854,5904838.66173329,94108.3175447499
